decision,reason,feature_to_query,feature_shap_value,missing_impact,prediction,prediction_proba,true_label,instance_idx,variance
PREDICT,confident,,,0.10824675553052313,0.0,0.3730227248343737,0,70,0.0010592944603546228
WITHHOLD,missing_impact,system_change,-0.4390178588012627,1.1161409194696983,,,1,238,
WITHHOLD,missing_impact,os_type,-0.1418048569405807,0.21727537817927073,,,1,411,
WITHHOLD,missing_impact,system_change,-0.3080386524932993,0.86395879317156,,,0,390,
PREDICT,confident,,,0.01442953402763624,1.0,0.8315488285672539,0,340,4.757771671448413e-05
PREDICT,confident,,,0.12404789319215805,0.0,0.36545782644509306,1,33,0.0039616549374458755
PREDICT,confident,,,0.14966887634181691,1.0,0.7157399949793524,0,246,0.00018795102612802986
PREDICT,confident,,,0.0811863784739198,0.0,0.38915595949738563,0,314,0.0002794486444145487
WITHHOLD,missing_impact,system_change,-0.45868283970254714,1.5042264537193863,,,0,165,
PREDICT,confident,,,0.0,0.0,0.4290464005152978,1,275,0.0
WITHHOLD,missing_impact,ticket_priority,-0.149444058346481,0.3813777795060359,,,1,11,
PREDICT,confident,,,0.06782306016345548,1.0,0.5259802910443121,1,398,0.0016693598645896965
PREDICT,confident,,,0.0,1.0,0.549782581700681,1,15,0.0
PREDICT,confident,,,0.0,1.0,0.5326160572120309,1,441,0.0
PREDICT,confident,,,0.08156823951516635,1.0,0.591723298671405,1,196,0.00041728758258567026
WITHHOLD,missing_impact,system_change,-0.547335678641352,1.5846191687807434,,,0,0,
PREDICT,confident,,,0.04109557816770168,1.0,0.8212651135813268,1,19,0.000531912424235622
WITHHOLD,missing_impact,issue_history,-0.20398888349210104,0.9328470304017737,,,1,291,
WITHHOLD,missing_impact,browser_version,-0.26594674511876315,0.7223761054428738,,,0,353,
PREDICT,confident,,,0.10968829133738925,0.0,0.4439304018066506,1,56,0.0011941713389489882
WITHHOLD,missing_impact,browser_version,-0.15176846903878102,0.40564958985743266,,,1,428,
WITHHOLD,missing_impact,system_change,-0.5179798136206631,1.0066953111516581,,,0,262,
WITHHOLD,missing_impact,ticket_priority,-0.14072780203367835,0.316493823827744,,,1,299,
PREDICT,confident,,,0.12500613795586105,0.0,0.45259317709136826,0,208,0.0011841819313014813
WITHHOLD,missing_impact,ticket_priority,-0.1299027110323579,0.22806567206432476,,,0,404,
WITHHOLD,missing_impact,ticket_priority,-0.14972730831658437,0.43238021814775196,,,0,393,
PREDICT,confident,,,0.062092058119351194,1.0,0.684105470557179,1,25,0.0008429705322077529
WITHHOLD,missing_impact,browser_version,-0.3357184733731421,0.3872192986910669,,,0,193,
PREDICT,confident,,,0.18637648781038477,1.0,0.6704446106701869,1,237,0.0014706395349791388
PREDICT,confident,,,0.10762335416732453,0.0,0.35859500800130634,0,422,0.0014734064256809746
WITHHOLD,missing_impact,browser_version,-0.2713316372515621,0.6150858042979808,,,0,42,
WITHHOLD,missing_impact,browser_version,-0.29246694654129357,0.3980590188684996,,,1,266,
PREDICT,confident,,,0.05823575717629579,0.0,0.15403406318890026,0,445,0.00033989816961570683
PREDICT,confident,,,0.16547481439330441,1.0,0.6239138213306651,1,116,0.001543445593044893
PREDICT,confident,,,0.07448941784711104,0.0,0.28133262822905936,0,185,0.0004339203075923578
PREDICT,confident,,,0.11128475378884314,1.0,0.6037460288661548,1,289,0.000987831251508143
PREDICT,confident,,,0.16503974485877707,1.0,0.5502922390607983,0,430,0.001737299078250687
WITHHOLD,missing_impact,ticket_priority,-0.155880893323796,0.21272508261719872,,,0,22,
PREDICT,confident,,,0.06305112030607556,1.0,0.6505666906805575,1,46,0.0006679488883634793
WITHHOLD,missing_impact,issue_history,-0.21493406077259242,0.33953350230966967,,,1,439,
PREDICT,confident,,,0.0,1.0,0.8347321680911614,1,449,0.0
PREDICT,confident,,,0.1221915610800842,0.0,0.4746550187883721,1,137,0.00010536765751057101
PREDICT,confident,,,0.10387261680873487,1.0,0.5256332115503874,1,93,0.000738157401120546
WITHHOLD,missing_impact,system_change,-0.3416367284549116,1.0964038498213353,,,0,57,
WITHHOLD,missing_impact,crm_version,-0.08964175071241653,0.2462836245575826,,,1,154,
